"Data.Precipitation","Date.Full","Date.Month","Date.Week of","Date.Year","Station.City","Station.Code","Station.Location","Station.State","Data.Temperature.Avg Temp","Data.Temperature.Max Temp","Data.Temperature.Min Temp","Data.Wind.Direction","Data.Wind.Speed"
"0.0","2016-01-03","1","3","2016","Birmingham","BHM","Birmingham, AL","Alabama","39","46","32","33","4.33"
"0.0","2016-01-03","1","3","2016","Huntsville","HSV","Huntsville, AL","Alabama","39","47","31","32","3.86"
"0.16","2016-01-03","1","3","2016","Mobile","MOB","Mobile, AL","Alabama","46","51","41","35","9.73"
"0.0","2016-01-03","1","3","2016","Montgomery","MGM","Montgomery, AL","Alabama","45","52","38","32","6.86"
"0.01","2016-01-03","1","3","2016","Anchorage","ANC","Anchorage, AK","Alaska","34","38","29","19","7.8"
"0.09","2016-01-03","1","3","2016","Annette","ANN","Annette, AK","Alaska","38","44","31","9","8.7"
"0.05","2016-01-03","1","3","2016","Bethel","BET","Bethel, AK","Alaska","30","36","24","9","16.46"
"0.15","2016-01-03","1","3","2016","Bettles","BTT","Bettles, AK","Alaska","22","32","9","2","3.1"
"0.6","2016-01-03","1","3","2016","Cold Bay","CDB","Cold Bay, AK","Alaska","34","36","31","20","9.1"
"2.15","2016-01-03","1","3","2016","Cordova","CDV","Cordova, AK","Alaska","38","43","33","9","9.76"
"0.0","2016-01-03","1","3","2016","Delta Junction/Ft Greely","BIG","Delta Junction/Ft Greely, AK","Alaska","31","39","23","14","17.9"
"0.0","2016-01-03","1","3","2016","Fairbanks","FAI","Fairbanks, AK","Alaska","14","30","4","2","2.2"
"0.02","2016-01-03","1","3","2016","Gulkana","GKN","Gulkana, AK","Alaska","27","34","19","14","8.23"
"1.22","2016-01-03","1","3","2016","Homer","HOM","Homer, AK","Alaska","39","42","35","9","11.26"
"0.0","2016-01-03","1","3","2016","Iliamna","ILI","Iliamna, AK","Alaska","40","42","37","9","19.76"
"0.7","2016-01-03","1","3","2016","Juneau","JNU","Juneau, AK","Alaska","36","40","31","10","9.23"
"0.14","2016-01-03","1","3","2016","Kenai","ENA","Kenai, AK","Alaska","34","37","30","6","11.2"
"0.17","2016-01-03","1","3","2016","Ketchikan","KTN","Ketchikan, AK","Alaska","37","41","33","15","6.16"
"0.05","2016-01-03","1","3","2016","King Salmon","AKN","King Salmon, AK","Alaska","39","42","35","10","18.83"
"1.3","2016-01-03","1","3","2016","Kodiak","ADQ","Kodiak, AK","Alaska","40","42","36","11","21.8"
"0.1","2016-01-03","1","3","2016","Kotzebue","OTZ","Kotzebue, AK","Alaska","27","33","20","11","11.76"
"0.01","2016-01-03","1","3","2016","Mc Grath","MCG","Mc Grath, AK","Alaska","30","39","20","15","3.7"
"0.08","2016-01-03","1","3","2016","Nome","OME","Nome, AK","Alaska","29","32","25","6","12.86"
"0.0","2016-01-03","1","3","2016","Northway","ORT","Northway, AK","Alaska","0","8","-9","20","0.36"
"0.4","2016-01-03","1","3","2016","Palmer","PAQ","Palmer, AK","Alaska","37","42","32","8","10.5"
"0.0","2016-01-03","1","3","2016","Petersburg","PSG","Petersburg, AK","Alaska","60","60","60","18","1.83"
"0.0","2016-01-03","1","3","2016","Puntilla Lake","PTI","Puntilla Lake, AK","Alaska","60","60","60","0","0.0"
"0.0","2016-01-03","1","3","2016","Shemya","SYA","Shemya, AK","Alaska","60","60","60","0","0.0"
"0.37","2016-01-03","1","3","2016","Sitka","SIT","Sitka, AK","Alaska","43","46","39","19","11.26"
"0.55","2016-01-03","1","3","2016","Skagway","SGY","Skagway, AK","Alaska","38","42","33","14","5.2"
"0.15","2016-01-03","1","3","2016","St Paul Island","SNP","St Paul Island, AK","Alaska","32","35","29","22","9.03"
"0.04","2016-01-03","1","3","2016","Talkeetna","TKA","Talkeetna, AK","Alaska","32","39","23","2","4.93"
"0.0","2016-01-03","1","3","2016","Tanana","TAL","Tanana, AK","Alaska","21","29","13","8","3.83"
"0.05","2016-01-03","1","3","2016","Utqiagvik (Barrow)","BRW","Utqiagvik (Barrow), AK","Alaska","6","9","2","6","13.76"
"2.42","2016-01-03","1","3","2016","Yakutat","YAK","Yakutat, AK","Alaska","36","40","32","11","5.93"
"0.0","2016-01-03","1","3","2016","Douglas Bisbee","DUG","Douglas Bisbee, AZ","Arizona","41","57","24","6","4.2"
"0.0","2016-01-03","1","3","2016","Kingman","IGM","Kingman, AZ","Arizona","40","54","25","4","4.2"
"0.0","2016-01-03","1","3","2016","Phoenix","PHX","Phoenix, AZ","Arizona","58","69","45","13","5.8"
"0.0","2016-01-03","1","3","2016","Tucson","TUS","Tucson, AZ","Arizona","56","69","43","12","12.93"
"0.0","2016-01-03","1","3","2016","Winslow","INW","Winslow, AZ","Arizona","29","42","15","27","2.7"
"0.0","2016-01-03","1","3","2016","Fort Smith","FSM","Fort Smith, AR","Arkansas","39","51","27","27","5.16"
"0.0","2016-01-03","1","3","2016","Harrison","HRO","Harrison, AR","Arkansas","38","48","27","29","7.4"
"0.0","2016-01-03","1","3","2016","North Little Rock","LZK","North Little Rock, AR","Arkansas","42","49","34","0","0.0"
"0.0","2016-01-03","1","3","2016","Bakersfield","BFL","Bakersfield, CA","California","47","60","33","34","2.2"
"0.0","2016-01-03","1","3","2016","Bishop","BIH","Bishop, CA","California","27","42","12","32","3.06"
"0.0","2016-01-03","1","3","2016","China Lake","NID","China Lake, CA","California","35","49","21","21","1.56"
"0.0","2016-01-03","1","3","2016","Concord","CCR","Concord, CA","California","44","51","37","6","4.06"
"0.06","2016-01-03","1","3","2016","Eureka","EKA","Eureka, CA","California","44","53","33","0","0.0"
"0.0","2016-01-03","1","3","2016","Fresno","FAT","Fresno, CA","California","46","55","36","25","0.86"
"0.0","2016-01-03","1","3","2016","Hayward","HWD","Hayward, CA","California","47","53","41","6","6.56"
"0.0","2016-01-03","1","3","2016","Long Beach","LGB","Long Beach, CA","California","54","65","43","24","2.13"
"0.0","2016-01-03","1","3","2016","Los Angeles","LAX","Los Angeles, CA","California","55","63","45","15","2.76"
"0.0","2016-01-03","1","3","2016","Red Bluff","RBL","Red Bluff, CA","California","44","50","36","33","7.73"
"0.0","2016-01-03","1","3","2016","Redding","RDD","Redding, CA","California","45","51","38","34","6.16"
"0.0","2016-01-03","1","3","2016","Sacramento","SAC","Sacramento, CA","California","44","52","34","34","3.63"
"0.0","2016-01-03","1","3","2016","Salinas","SNS","Salinas, CA","California","49","57","41","8","6.46"
"0.0","2016-01-03","1","3","2016","San Diego","SAN","San Diego, CA","California","55","64","45","24","1.83"
"0.04","2016-01-03","1","3","2016","San Francisco","SFO","San Francisco, CA","California","46","51","41","10","4.43"
"0.0","2016-01-03","1","3","2016","Sandberg","SDB","Sandberg, CA","California","39","44","33","8","18.8"
"0.0","2016-01-03","1","3","2016","Santa Barbara","SBA","Santa Barbara, CA","California","51","62","39","12","4.9"
"0.0","2016-01-03","1","3","2016","Santa Maria","SMX","Santa Maria, CA","California","51","63","37","21","3.86"
"0.0","2016-01-03","1","3","2016","Stockton","SCK","Stockton, CA","California","42","51","33","26","1.86"
"0.0","2016-01-03","1","3","2016","Alamosa","ALS","Alamosa, CO","Colorado","14","33","-5","32","1.4"
"0.0","2016-01-03","1","3","2016","Colorado Springs","COS","Colorado Springs, CO","Colorado","28","45","9","15","3.13"
"0.0","2016-01-03","1","3","2016","Craig","CAG","Craig, CO","Colorado","-10","3","-23","12","0.4"
"0.0","2016-01-03","1","3","2016","Denver","DEN","Denver, CO","Colorado","27","40","12","20","7.2"
"0.0","2016-01-03","1","3","2016","Grand Junction","GJT","Grand Junction, CO","Colorado","14","24","4","8","4.46"
"0.0","2016-01-03","1","3","2016","Pueblo","PUB","Pueblo, CO","Colorado","26","47","4","27","1.93"
"0.0","2016-01-03","1","3","2016","Bridgeport","BDR","Bridgeport, CT","Connecticut","38","43","32","27","8.86"
"0.0","2016-01-03","1","3","2016","Windsor Locks","BDL","Windsor Locks, CT","Connecticut","34","40","27","24","6.2"
"0.0","2016-01-03","1","3","2016","Newark","NWK","Newark, DE","DE","37","46","27","28","6.43"
"0.0","2016-01-03","1","3","2016","Wilmington","ILG","Wilmington, DE","Delaware","37","46","27","28","6.43"
"0.75","2016-01-03","1","3","2016","Daytona Beach","DAB","Daytona Beach, FL","Florida","63","68","58","32","6.23"
"0.49","2016-01-03","1","3","2016","Fort Lauderdale","FLL","Fort Lauderdale, FL","Florida","76","82","70","28","5.16"
"0.62","2016-01-03","1","3","2016","Gainesville","GNV","Gainesville, FL","Florida","56","62","51","33","4.6"
"0.49","2016-01-03","1","3","2016","Jacksonville","JAX","Jacksonville, FL","Florida","56","61","50","31","4.83"
"0.5","2016-01-03","1","3","2016","Key West","EYW","Key West, FL","Florida","79","82","74","17","4.53"
"1.13","2016-01-03","1","3","2016","Miami","MIA","Miami, FL","Florida","76","82","70","17","3.33"
"0.14","2016-01-03","1","3","2016","Orlando","MCO","Orlando, FL","Florida","65","72","57","31","6.93"
"0.12","2016-01-03","1","3","2016","Pensacola","PNS","Pensacola, FL","Florida","48","52","44","35","9.33"
"0.46","2016-01-03","1","3","2016","Tallahassee","TLH","Tallahassee, FL","Florida","53","57","48","34","6.16"
"0.18","2016-01-03","1","3","2016","Tampa","TPA","Tampa, FL","Florida","66","71","59","8","5.73"
"0.97","2016-01-03","1","3","2016","Vero Beach","VRB","Vero Beach, FL","Florida","69","74","62","28","6.9"
"0.24","2016-01-03","1","3","2016","West Palm Beach","PBI","West Palm Beach, FL","Florida","74","80","67","27","6.83"
"0.66","2016-01-03","1","3","2016","Alma","AMG","Alma, GA","Georgia","51","58","47","32","5.06"
"0.0","2016-01-03","1","3","2016","Athens","AHN","Athens, GA","Georgia","45","54","36","29","5.1"
"0.0","2016-01-03","1","3","2016","Atlanta","ATL","Atlanta, GA","Georgia","42","48","36","31","10.93"
"0.0","2016-01-03","1","3","2016","Augusta","AGS","Augusta, GA","Georgia","48","56","41","31","3.06"
"0.01","2016-01-03","1","3","2016","Macon","MCN","Macon, GA","Georgia","47","53","40","31","5.46"
"0.41","2016-01-03","1","3","2016","Savannah","SAV","Savannah, GA","Georgia","56","62","49","31","5.0"
"0.11","2016-01-03","1","3","2016","Hilo","ITO","Hilo, HI","Hawaii","73","81","65","20","3.33"
"0.0","2016-01-03","1","3","2016","Honolulu","HNL","Honolulu, HI","Hawaii","73","81","64","24","5.13"
"0.04","2016-01-03","1","3","2016","Kahului","OGG","Kahului, HI","Hawaii","71","80","60","3","8.4"
"0.04","2016-01-03","1","3","2016","Kaunakakai","MKK","Kaunakakai, HI","Hawaii","72","79","64","14","8.86"
"0.0","2016-01-03","1","3","2016","Lihue","LIH","Lihue, HI","Hawaii","70","79","60","23","6.06"
"0.0","2016-01-03","1","3","2016","Boise","BOI","Boise, ID","Idaho","15","23","7","16","3.0"
"0.0","2016-01-03","1","3","2016","Lewiston","LWS","Lewiston, ID","Idaho","21","29","12","9","2.56"
"0.0","2016-01-03","1","3","2016","Pocatello","PIH","Pocatello, ID","Idaho","8","21","-4","2","2.66"
"0.0","2016-01-03","1","3","2016","Chicago","ORD","Chicago, IL","Illinois","25","30","20","28","12.16"
"0.0","2016-01-03","1","3","2016","Moline","MLI","Moline, IL","Illinois","25","31","19","28","10.9"
"0.0","2016-01-03","1","3","2016","Peoria","PIA","Peoria, IL","Illinois","29","35","22","28","8.2"
"0.0","2016-01-03","1","3","2016","Quincy","UIN","Quincy, IL","Illinois","29","35","22","28","10.53"
"0.0","2016-01-03","1","3","2016","Rockford","RFD","Rockford, IL","Illinois","24","30","18","28","9.73"
"0.0","2016-01-03","1","3","2016","Springfield","SPI","Springfield, IL","Illinois","31","37","24","27","9.96"
"0.0","2016-01-03","1","3","2016","Evansville","EVV","Evansville, IN","Indiana","35","43","27","27","6.06"
"0.0","2016-01-03","1","3","2016","Fort Wayne","FWA","Fort Wayne, IN","Indiana","29","31","25","26","13.2"
"0.0","2016-01-03","1","3","2016","Indianapolis","IND","Indianapolis, IN","Indiana","29","34","24","26","10.73"
"0.03","2016-01-03","1","3","2016","South Bend","SBN","South Bend, IN","Indiana","27","30","23","26","11.83"
"0.0","2016-01-03","1","3","2016","Cedar Rapids","CID","Cedar Rapids, IA","Iowa","22","28","15","28","11.46"
"0.0","2016-01-03","1","3","2016","Des Moines","DSM","Des Moines, IA","Iowa","24","32","16","30","10.0"
"0.0","2016-01-03","1","3","2016","Dubuque","DBQ","Dubuque, IA","Iowa","21","27","14","28","11.86"
"0.0","2016-01-03","1","3","2016","Sioux City","SUX","Sioux City, IA","Iowa","21","31","11","30","8.63"
"0.0","2016-01-03","1","3","2016","Waterloo","ALO","Waterloo, IA","Iowa","22","29","13","28","11.06"
"0.0","2016-01-03","1","3","2016","Concordia","CNK","Concordia, KS","Kansas","31","43","18","29","8.96"
"0.0","2016-01-03","1","3","2016","Dodge City","DDC","Dodge City, KS","Kansas","31","46","16","31","8.36"
"0.0","2016-01-03","1","3","2016","Goodland","GLD","Goodland, KS","Kansas","30","46","13","28","8.1"
"0.0","2016-01-03","1","3","2016","Medicine Lodge","P28","Medicine Lodge, KS","Kansas","34","49","19","32","4.9"
"0.0","2016-01-03","1","3","2016","Topeka","TOP","Topeka, KS","Kansas","32","43","22","29","5.96"
"0.0","2016-01-03","1","3","2016","Wichita","ICT","Wichita, KS","Kansas","33","45","21","29","5.96"
"0.0","2016-01-03","1","3","2016","Covington","CVG","Covington, KY","Kentucky","33","39","27","26","7.73"
"0.0","2016-01-03","1","3","2016","Jackson","JKL","Jackson, KY","Kentucky","37","45","28","24","2.93"
"0.0","2016-01-03","1","3","2016","Lexington","LEX","Lexington, KY","Kentucky","35","42","27","25","7.93"
"0.0","2016-01-03","1","3","2016","Louisville","SDF","Louisville, KY","Kentucky","38","45","31","27","6.7"
"0.0","2016-01-03","1","3","2016","Paducah","PAH","Paducah, KY","Kentucky","36","47","25","27","5.6"
"0.09","2016-01-03","1","3","2016","Baton Rouge","BTR","Baton Rouge, LA","Louisiana","47","53","40","23","3.43"
"0.08","2016-01-03","1","3","2016","Lake Charles","LCH","Lake Charles, LA","Louisiana","47","52","43","12","8.33"
"0.59","2016-01-03","1","3","2016","New Orleans","MSY","New Orleans, LA","Louisiana","50","54","46","13","11.93"
"0.0","2016-01-03","1","3","2016","Shreveport","SHV","Shreveport, LA","Louisiana","46","53","39","21","5.36"
"0.22","2016-01-03","1","3","2016","Slidell","ASD","Slidell, LA","Louisiana","47","53","42","23","6.66"
"0.0","2016-01-03","1","3","2016","Bangor","BGR","Bangor, ME","Maine","29","35","22","24","4.6"
"0.1","2016-01-03","1","3","2016","Caribou","CAR","Caribou, ME","Maine","23","29","17","25","5.66"
"0.01","2016-01-03","1","3","2016","Portland","PWM","Portland, ME","Maine","34","39","28","24","7.53"
"0.0","2016-01-03","1","3","2016","Baltimore","BWI","Baltimore, MD","Maryland","37","48","26","27","5.36"
"0.0","2016-01-03","1","3","2016","Salisbury","SBY","Salisbury, MD","Maryland","38","48","28","27","3.46"
"0.0","2016-01-03","1","3","2016","Boston","BOS","Boston, MA","Massachusetts","37","41","31","25","11.83"
"0.0","2016-01-03","1","3","2016","Milton","MQE","Milton, MA","Massachusetts","60","60","60","25","11.6"
"0.0","2016-01-03","1","3","2016","Worcester","ORH","Worcester, MA","Massachusetts","31","35","26","25","11.56"
"0.01","2016-01-03","1","3","2016","Alpena","APN","Alpena, MI","Michigan","27","32","21","26","8.96"
"0.0","2016-01-03","1","3","2016","Detroit","DTW","Detroit, MI","Michigan","32","36","27","24","12.96"
"0.05","2016-01-03","1","3","2016","Flint","FNT","Flint, MI","Michigan","31","34","27","27","11.13"
"0.04","2016-01-03","1","3","2016","Grand Rapids","GRR","Grand Rapids, MI","Michigan","30","33","26","27","13.3"
"0.08","2016-01-03","1","3","2016","Houghton Lake","HTL","Houghton Lake, MI","Michigan","26","30","21","27","11.16"
"0.04","2016-01-03","1","3","2016","Lansing","LAN","Lansing, MI","Michigan","29","32","25","26","12.5"
"0.21","2016-01-03","1","3","2016","Marquette","MQT","Marquette, MI","Michigan","23","27","18","0","0.0"
"0.0","2016-01-03","1","3","2016","Muskegon","MKG","Muskegon, MI","Michigan","31","35","27","28","13.23"
"0.04","2016-01-03","1","3","2016","Sault Ste Marie","ANJ","Sault Ste Marie, MI","Michigan","24","31","17","28","9.56"
"0.0","2016-01-03","1","3","2016","Duluth","DLH","Duluth, MN","Minnesota","22","27","17","30","11.56"
"0.0","2016-01-03","1","3","2016","International Falls","INL","International Falls, MN","Minnesota","21","25","15","29","7.76"
"0.0","2016-01-03","1","3","2016","Minneapolis","MSP","Minneapolis, MN","Minnesota","23","30","16","28","9.36"
"0.0","2016-01-03","1","3","2016","Rochester","RST","Rochester, MN","Minnesota","19","26","13","29","13.73"
"0.0","2016-01-03","1","3","2016","St Cloud","STC","St Cloud, MN","Minnesota","20","29","10","29","9.03"
"0.0","2016-01-03","1","3","2016","Greenville","GLH","Greenville, MS","Mississippi","42","48","35","30","4.56"
"0.0","2016-01-03","1","3","2016","Greenwood","GWO","Greenwood, MS","Mississippi","40","48","32","23","2.36"
"0.38","2016-01-03","1","3","2016","Gulfport","GPT","Gulfport, MS","Mississippi","47","52","42","35","9.76"
"0.02","2016-01-03","1","3","2016","Hattiesburg","HBG","Hattiesburg, MS","Mississippi","46","51","40","34","5.76"
"0.0","2016-01-03","1","3","2016","Jackson","JAN","Jackson, MS","Mississippi","44","50","38","33","5.43"
"0.01","2016-01-03","1","3","2016","Meridian","MEI","Meridian, MS","Mississippi","43","49","36","34","5.56"
"0.0","2016-01-03","1","3","2016","Tupelo","TUP","Tupelo, MS","Mississippi","40","50","31","23","4.13"
"0.0","2016-01-03","1","3","2016","Cape Girardeau","CGI","Cape Girardeau, MO","Missouri","37","46","27","29","5.96"
"0.0","2016-01-03","1","3","2016","Columbia","COU","Columbia, MO","Missouri","33","41","24","28","9.26"
"0.0","2016-01-03","1","3","2016","Kansas City","MCI","Kansas City, MO","Missouri","29","38","20","28","8.13"
"0.0","2016-01-03","1","3","2016","Rolla/Vichy","VIH","Rolla/Vichy, MO","Missouri","33","41","24","27","8.63"
"0.0","2016-01-03","1","3","2016","Springfield","SGF","Springfield, MO","Missouri","35","45","23","28","7.5"
"0.0","2016-01-03","1","3","2016","St Joseph","STJ","St Joseph, MO","Missouri","26","36","16","28","5.5"
"0.0","2016-01-03","1","3","2016","St Louis","STL","St Louis, MO","Missouri","36","43","29","28","9.03"
"0.0","2016-01-03","1","3","2016","Billings","BIL","Billings, MT","Montana","23","29","16","22","18.86"
"0.0","2016-01-03","1","3","2016","Butte","BTM","Butte, MT","Montana","0","13","-12","15","1.8"
"0.0","2016-01-03","1","3","2016","Cut Bank","CTB","Cut Bank, MT","Montana","8","22","-6","21","4.83"
"0.0","2016-01-03","1","3","2016","Dillon","DLN","Dillon, MT","Montana","7","16","-2","19","6.4"
"0.0","2016-01-03","1","3","2016","Glasgow","GGW","Glasgow, MT","Montana","8","18","-1","23","6.16"
"0.0","2016-01-03","1","3","2016","Great Falls","GTF","Great Falls, MT","Montana","17","27","7","22","11.0"
"0.0","2016-01-03","1","3","2016","Havre","HVR","Havre, MT","Montana","10","20","0","18","9.0"
"0.0","2016-01-03","1","3","2016","Helena","HLN","Helena, MT","Montana","3","12","-5","23","0.53"
"0.01","2016-01-03","1","3","2016","Kalispell","GPI","Kalispell, MT","Montana","6","16","-3","31","1.6"
"0.0","2016-01-03","1","3","2016","Miles City","MLS","Miles City, MT","Montana","19","31","6","21","6.26"
"0.0","2016-01-03","1","3","2016","Missoula","MSO","Missoula, MT","Montana","7","16","-2","12","2.33"
"0.0","2016-01-03","1","3","2016","Grand Island","GRI","Grand Island, NE","Nebraska","26","37","15","30","9.03"
"0.0","2016-01-03","1","3","2016","Lincoln","LNK","Lincoln, NE","Nebraska","26","36","16","18","5.7"
"0.0","2016-01-03","1","3","2016","Norfolk","OFK","Norfolk, NE","Nebraska","22","32","12","29","9.43"
"0.0","2016-01-03","1","3","2016","North Platte","LBF","North Platte, NE","Nebraska","26","43","8","30","6.7"
"0.0","2016-01-03","1","3","2016","Omaha","OMA","Omaha, NE","Nebraska","22","31","12","31","6.83"
"0.0","2016-01-03","1","3","2016","Scottsbluff","BFF","Scottsbluff, NE","Nebraska","18","31","5","21","6.36"
"0.0","2016-01-03","1","3","2016","Sidney","SNY","Sidney, NE","Nebraska","21","33","8","28","10.86"
"0.0","2016-01-03","1","3","2016","Valentine","VTN","Valentine, NE","Nebraska","20","34","7","26","7.8"
"0.0","2016-01-03","1","3","2016","Ely","ELY","Ely, NV","Nevada","7","22","-8","26","3.46"
"0.0","2016-01-03","1","3","2016","Eureka","P68","Eureka, NV","Nevada","12","24","-7","12","3.4"
"0.0","2016-01-03","1","3","2016","Las Vegas","LAS","Las Vegas, NV","Nevada","44","52","35","24","1.03"
"0.0","2016-01-03","1","3","2016","Mercury","DRA","Mercury, NV","Nevada","39","47","30","9","7.96"
"0.0","2016-01-03","1","3","2016","Reno","RNO","Reno, NV","Nevada","22","29","15","18","2.96"
"0.0","2016-01-03","1","3","2016","Winnemucca","WMC","Winnemucca, NV","Nevada","12","25","-1","8","6.6"
"0.0","2016-01-03","1","3","2016","Concord","CON","Concord, NH","New Hampshire","34","39","29","24","6.16"
"0.0","2016-01-03","1","3","2016","Mt. Washington","MWN","Mt. Washington, NH","New Hampshire","60","60","60","27","52.6"
"0.0","2016-01-03","1","3","2016","Atlantic City","ACY","Atlantic City, NJ","New Jersey","36","46","26","28","6.26"
"0.0","2016-01-03","1","3","2016","Newark","EWR","Newark, NJ","New Jersey","37","44","30","25","10.1"
"0.0","2016-01-03","1","3","2016","Albuquerque","ABQ","Albuquerque, NM","New Mexico","31","38","23","27","4.63"
"0.0","2016-01-03","1","3","2016","Clayton","CAO","Clayton, NM","New Mexico","31","46","15","27","5.06"
"0.02","2016-01-03","1","3","2016","Roswell","ROW","Roswell, NM","New Mexico","27","36","17","17","1.8"
"0.01","2016-01-03","1","3","2016","Albany","ALB","Albany, NY","New York","33","38","28","25","6.23"
"0.01","2016-01-03","1","3","2016","Binghamton","BGM","Binghamton, NY","New York","25","30","21","26","8.86"
"0.13","2016-01-03","1","3","2016","Buffalo","BUF","Buffalo, NY","New York","29","34","23","26","13.73"
"0.01","2016-01-03","1","3","2016","Glens Falls","GFL","Glens Falls, NY","New York","33","37","29","21","7.3"
"0.0","2016-01-03","1","3","2016","Islip","ISP","Islip, NY","New York","37","44","30","27","8.63"
"0.0","2016-01-03","1","3","2016","New York","LGA","New York, NY","New York","40","43","35","27","11.7"
"0.05","2016-01-03","1","3","2016","Rochester","ROC","Rochester, NY","New York","28","34","22","26","11.23"
"0.19","2016-01-03","1","3","2016","Syracuse","SYR","Syracuse, NY","New York","29","34","23","24","11.5"
"0.0","2016-01-03","1","3","2016","Asheville","AVL","Asheville, NC","North Carolina","39","46","30","34","10.16"
"0.16","2016-01-03","1","3","2016","Cape Hatteras","HSE","Cape Hatteras, NC","North Carolina","50","56","44","21","4.43"
"0.0","2016-01-03","1","3","2016","Charlotte","CLT","Charlotte, NC","North Carolina","43","53","33","18","2.3"
"0.0","2016-01-03","1","3","2016","Greensboro","GSO","Greensboro, NC","North Carolina","41","51","31","30","4.2"
"0.0","2016-01-03","1","3","2016","Hickory","HKY","Hickory, NC","North Carolina","43","53","32","31","2.36"
"0.0","2016-01-03","1","3","2016","Raleigh/Durham","RDU","Raleigh/Durham, NC","North Carolina","43","52","35","27","1.86"
"0.63","2016-01-03","1","3","2016","Wilmington","ILM","Wilmington, NC","North Carolina","48","56","40","32","5.03"
"0.0","2016-01-03","1","3","2016","Bismarck","BIS","Bismarck, ND","North Dakota","21","30","12","25","7.9"
"0.0","2016-01-03","1","3","2016","Dickinson","DIK","Dickinson, ND","North Dakota","20","30","9","25","10.76"
"0.0","2016-01-03","1","3","2016","Fargo","FAR","Fargo, ND","North Dakota","20","28","12","27","7.8"
"0.0","2016-01-03","1","3","2016","Grand Forks","GFK","Grand Forks, ND","North Dakota","19","28","10","28","9.46"
"0.0","2016-01-03","1","3","2016","Williston","ISN","Williston, ND","North Dakota","21","26","9","24","8.1"
"0.05","2016-01-03","1","3","2016","Akron","CAK","Akron, OH","Ohio","29","32","25","26","11.4"
"0.02","2016-01-03","1","3","2016","Cleveland","CLE","Cleveland, OH","Ohio","29","32","26","25","12.43"
"0.0","2016-01-03","1","3","2016","Columbus","CMH","Columbus, OH","Ohio","31","35","26","26","8.53"
"0.0","2016-01-03","1","3","2016","Dayton","DAY","Dayton, OH","Ohio","30","35","24","26","11.93"
"0.0","2016-01-03","1","3","2016","Mansfield","MFD","Mansfield, OH","Ohio","27","31","23","24","11.46"
"0.0","2016-01-03","1","3","2016","Toledo","TOL","Toledo, OH","Ohio","29","31","25","26","12.7"
"0.03","2016-01-03","1","3","2016","Youngstown/Warren","YNG","Youngstown/Warren, OH","Ohio","28","32","24","25","11.23"
"0.0","2016-01-03","1","3","2016","Gage","GAG","Gage, OK","Oklahoma","33","47","18","28","5.46"
"0.0","2016-01-03","1","3","2016","Oklahoma City","OKC","Oklahoma City, OK","Oklahoma","35","46","24","30","7.16"
"0.0","2016-01-03","1","3","2016","Ponca City","PNC","Ponca City, OK","Oklahoma","33","47","20","28","3.96"
"0.0","2016-01-03","1","3","2016","Tulsa","TUL","Tulsa, OK","Oklahoma","36","48","24","29","5.1"
"0.21","2016-01-03","1","3","2016","Astoria","AST","Astoria, OR","Oregon","36","42","30","9","9.46"
"0.06","2016-01-03","1","3","2016","Burns","BNO","Burns, OR","Oregon","7","21","-6","11","3.5"
"0.06","2016-01-03","1","3","2016","Eugene","EUG","Eugene, OR","Oregon","30","36","23","1","7.86"
"0.01","2016-01-03","1","3","2016","Medford","MFR","Medford, OR","Oregon","34","43","24","9","3.4"
"0.01","2016-01-03","1","3","2016","Pendleton","PDT","Pendleton, OR","Oregon","19","20","17","12","4.0"
"0.31","2016-01-03","1","3","2016","Portland","PDX","Portland, OR","Oregon","32","35","29","9","19.93"
"0.0","2016-01-03","1","3","2016","Redmond","RDM","Redmond, OR","Oregon","15","24","6","32","2.8"
"0.29","2016-01-03","1","3","2016","Salem","SLE","Salem, OR","Oregon","32","38","25","34","7.13"
"0.0","2016-01-03","1","3","2016","Allentown","ABE","Allentown, PA","Pennsylvania","34","41","25","27","8.3"
"0.31","2016-01-03","1","3","2016","Erie","ERI","Erie, PA","Pennsylvania","29","33","26","24","13.96"
"0.0","2016-01-03","1","3","2016","Harrisburg","MDT","Harrisburg, PA","Pennsylvania","36","43","29","30","8.8"
"0.0","2016-01-03","1","3","2016","Philadelphia","PHL","Philadelphia, PA","Pennsylvania","39","45","31","27","8.3"
"0.01","2016-01-03","1","3","2016","Pittsburgh","PIT","Pittsburgh, PA","Pennsylvania","31","35","27","25","9.53"
"0.0","2016-01-03","1","3","2016","Wilkes-Barre/Scranton","AVP","Wilkes-Barre/Scranton, PA","Pennsylvania","32","35","28","25","9.13"
"0.01","2016-01-03","1","3","2016","Williamsport","IPT","Williamsport, PA","Pennsylvania","31","35","25","26","7.83"
"0.05","2016-01-03","1","3","2016","San Juan","SJU","San Juan, PR","Puerto Rico","77","83","71","10","5.9"
"0.0","2016-01-03","1","3","2016","Providence","PVD","Providence, RI","Rhode Island","36","43","28","26","7.36"
"0.0","2016-01-03","1","3","2016","Anderson","AND","Anderson, SC","South Carolina","45","54","35","30","1.13"
"0.55","2016-01-03","1","3","2016","Charleston","CHS","Charleston, SC","South Carolina","53","61","45","22","3.86"
"0.0","2016-01-03","1","3","2016","Columbia","CAE","Columbia, SC","South Carolina","49","57","40","21","2.3"
"0.0","2016-01-03","1","3","2016","Greer","GSP","Greer, SC","South Carolina","45","55","35","19","2.53"
